Average Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: Degrees Fahrenheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Period: 2000-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State_Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2010,62.7,27.4,60.4,61.2,57.7,46.2,51.4,56.7,69.2,63,43.3,52.9,52.6,48.2,55.3,56,66.5,44.6,55.8,50.4,47.1,42.8,63.5,55.2,41.6,49.3,50,46,54.7,54.2,47.2,59,40.9,51.7,60.3,47.1,50.1,52,62.6,45.1,57.9,65.1,48.3,44.9,55.9,47.1,52,45.5,42
2011,63.8,27,60.3,61.8,57.4,45.4,50.9,57.4,71.7,64.6,42.4,53.1,53.1,48.4,55.2,56.9,67.7,42.8,56.5,49.7,45.6,42,64.4,55.6,41.6,48.8,49.6,44.9,54.9,54.6,47.1,60.4,40.7,52.3,61.6,46.3,50.4,51.6,64.1,44.8,58.9,67.3,47.6,44.3,57,45.5,53.5,44.1,41.1
2012,64.9,24.3,62.1,63.6,59.5,48.3,52.5,58.5,71.9,65.5,45.1,55.8,55.1,52.1,58.2,58.4,68.7,43.9,57.5,51.3,48.4,45.2,65.7,58.5,44.5,52.7,52.4,46.6,55.9,56,48.8,60.7,44.1,54,63.2,48,51.8,52.9,64.5,49.3,60.3,67.8,50.9,45.8,57.6,47.1,54.3,47.4,44.8
2013,62.6,27.8,60.4,59.6,59.3,45.1,49.8,55.8,71.7,63.4,43.7,51.1,51.2,46.7,53.7,55,66.2,42,54.7,48.8,44.1,39.3,63.1,53.6,42.4,48.5,50.5,44.2,53.2,53.7,45.7,58.6,38.8,50.9,58.8,47.6,49,50.6,62.3,44,57.1,65.1,47.8,43.2,55.1,47.2,51.8,41.8,41.7
2014,62,30.3,62.2,58.7,61.4,46.1,48.7,54.7,70.6,63,45.1,49.5,49.4,45.5,53.7,54.3,65.1,41.2,53.6,47.7,41.9,38.6,62.3,52.9,41.9,48,53,43,51.9,54.8,44.5,58.4,39,49.2,58.9,49.6,47.4,49.7,62.2,43.7,56.6,64.8,50.4,42,54.4,48.4,50.8,40.2,42.1
2015,64.6,30,61.8,61.4,60.8,47.4,49.8,56.4,73.4,65.3,46.4,52.9,52.3,49.3,56.3,56.6,68.1,41.2,55.4,48.5,45.1,43.5,65.3,55.8,44.9,50.8,52.9,43.6,53.9,54.9,45.7,60.5,43.4,51.6,60.8,50.4,49.5,50.4,64.5,47.5,59,65.8,50.7,42.6,56.5,50,53.1,44.8,44.2
2016,65.3,31.9,62.2,62.8,60.1,47.3,51.8,57.4,72.5,65.8,45.1,54.7,54.2,50.7,57.2,57.9,68.7,43.3,56.5,50.3,47.4,44.6,65.9,57.4,44.6,51.6,51.9,45.7,54.9,55.5,47.6,60.8,44.4,53.6,62.3,48.8,50.9,52.2,64.9,48.4,60.3,67.2,50.2,44.6,57.1,48.6,54.1,46.2,43.9
2017,65,29.3,63,62.5,60.3,47.9,50.9,57.6,72.8,65.8,44.3,54.4,54,50,56.5,57.8,68.7,42.4,56.7,49.6,46.3,42.6,65.8,57.1,43.2,50.7,52.2,44.9,54.6,56.4,46.9,61,42,53.2,61.8,48,50.6,51.5,65.1,46.8,60,67.3,50.7,43.8,57.3,46.8,54,44.7,43.2
2018,64.5,30.4,62.3,61.2,60.1,47.2,50.8,57.1,72.3,65.1,44.5,52.5,52.6,47.5,54.6,57,67.8,41.8,55.9,49.5,45.1,40.6,64.8,55.2,41.3,48.3,52,44.4,54.2,55.5,46.2,60.4,39.8,52.2,60.2,48.4,49.8,51.6,64.3,44.1,59.1,66,50.4,43.2,56.6,48,53.3,43.2,42.4
2019,65.4,32.2,60.3,61.2,58.4,45.2,49.8,57.5,73.2,66.2,43,52.1,52.4,46.8,53.8,57.5,67.7,40.7,56.6,48.6,44,39.3,65.2,55,39.9,47.5,49.9,43.3,54.3,54.4,45.3,61.3,38,52.4,59.8,47.2,49.9,50.6,65,42.4,59.8,65.9,47.8,42,57.5,46.5,54.1,42.1,40.3
